Variable,F-statistic,p-value
Finished,23.71267532177879,2.349446838596067e-18
Progress,22.127699242605242,3.5935821474730804e-17
LocationLatitude,19.960858456567816,4.4477831280678636e-15
Experience_2,11.509367264350916,5.671094440832717e-09
Q24_2,29.05283819628643,8.265269882238041e-07
Experience_3,5.443474821256632,0.00027010855827332733
Q24_1,10.327376783121206,0.0019521515617616303
OC-4,4.516503123176541,0.004349770150288174
OC-5,3.981979812542809,0.008776585795436876
CD-2,3.698867098372241,0.012694327390299256
Q24_3,6.079490782608694,0.016026374842718346
Status,2.353451683407738,0.05266178556770443
Consent,2.2157094910665935,0.06582260478254309
Degree Status,2.0258205417975086,0.08943496480840865
Experience_1,1.764346451744824,0.13462799141205337
Formal Education,1.7214463615748465,0.14373285419031662
Team ID,1.6533845058768004,0.17776595156767366
Differing abilities_1,1.2084813850939191,0.3075410852192153
Age,1.1469198766194475,0.3335054512097626
Duration (in seconds),0.9508344226583957,0.43400280335414276
OC-1,0.8702419597951361,0.457474469146521
Q24_4,0.5381772489645227,0.4655386685403138
CD-4,0.8088326798860704,0.4903339105572515
OC-2,0.7264722985867483,0.5372991676756356
OC-3,0.6828771617316516,0.5634925406470128
LocationLongitude,0.7249864658265732,0.575225814446481
Differing abilities_2,0.6636069160537615,0.5753250403405064
Differing abilities_3,0.5192524315683903,0.6694982243735539
Gender,0.5682082161396861,0.6858213800987079
Q24_5,0.07696362677912495,0.7822393056704506
CD-3,0.27771072804627117,0.841443346585045
CD-1,0.14741332909899302,0.9312550114106714
